sub-sector,inventory,sub_inventory,subinv_units,values,Gas
flourinated-gases,edgar,edgar,2.C Metal Industry,1,c2f6
flourinated-gases,edgar,edgar,2.C Metal Industry,1,cf4
flourinated-gases,edgar,edgar,2.C Metal Industry,1,sf6
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,c2f6
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,c3f8
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,cf4
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,hfc-125
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,hfc-23
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,hfc-32
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,nf3
flourinated-gases,edgar,edgar,2.E Electronics Industry,1,sf6
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,c3f8
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,c4f10
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,c6f14
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,cf4
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-125
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-134
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-134a
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-143
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-143a
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-152a
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-227ea
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-23
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-236fa
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-245fa
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-32
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-365mfc
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-41
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1,hfc-43-10-mee
flourinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,c2f6
flourinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,c3f8
flourinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,c4f10
flourinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,hcfc-141b
flourinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,hcfc-142b
flourinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1,sf6
